Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417414020,300,300,300,300,0.01,3,300
1417416540,370,370,370,370,0.01,3.7,370
1417416600,370,370,370,370,0.02655554,9.8255498,370
1417477200,370,370,370,370,0.02655554,9.8255498,370
1417477260,370,370,370,370,0.02655554,9.8255498,370
1417477320,370,370,370,370,0.02655554,9.8255498,370
1417477380,370,370,370,370,0.02655554,9.8255498,370
1417477440,370,370,370,370,0.02655554,9.8255498,370
1417477500,370,370,370,370,0.02655554,9.8255498,370
1417477560,370,370,370,370,0.02655554,9.8255498,370
1417477620,370,370,370,370,0.02655554,9.8255498,370
1417477680,370,370,370,370,0.02655554,9.8255498,370
1417477740,370,370,370,370,0.02655554,9.8255498,370
1417477800,370,370,370,370,0.02655554,9.8255498,370
1417477860,370,370,370,370,0.02655554,9.8255498,370
1417477920,370,370,370,370,0.02655554,9.8255498,370
1417477980,370,370,370,370,0.02655554,9.8255498,370
1417478040,370,370,370,370,0.02655554,9.8255498,370
1417478100,370,370,370,370,0.02655554,9.8255498,370
1417478160,370,370,370,370,0.02655554,9.8255498,370
1417478220,370,370,370,370,0.02655554,9.8255498,370
1417478280,370,370,370,370,0.02655554,9.8255498,370
1417478340,370,370,370,370,0.02655554,9.8255498,370
1417478400,370,370,370,370,0.02655554,9.8255498,370
1417478460,370,370,370,370,0.02655554,9.8255498,370
1417478520,370,370,370,370,0.02655554,9.8255498,370
1417478580,370,370,370,370,0.02655554,9.8255498,370
1417478640,370,370,370,370,0.02655554,9.8255498,370
1417478700,370,370,370,370,0.02655554,9.8255498,370
1417478760,370,370,370,370,0.02655554,9.8255498,370
1417478820,370,370,370,370,0.02655554,9.8255498,370
1417478880,370,370,370,370,0.02655554,9.8255498,370
1417478940,370,370,370,370,0.02655554,9.8255498,370
1417479000,370,370,370,370,0.02655554,9.8255498,370
1417479060,370,370,370,370,0.02655554,9.8255498,370
1417479120,370,370,370,370,0.02655554,9.8255498,370
1417479180,370,370,370,370,0.02655554,9.8255498,370
1417479240,370,370,370,370,0.02655554,9.8255498,370
1417479300,370,370,370,370,0.02655554,9.8255498,370
1417479360,370,370,370,370,0.02655554,9.8255498,370
1417479420,370,370,370,370,0.02655554,9.8255498,370
1417479480,370,370,370,370,0.02655554,9.8255498,370
1417479540,370,370,370,370,0.02655554,9.8255498,370
1417479600,370,370,370,370,0.02655554,9.8255498,370
1417479660,370,370,370,370,0.02655554,9.8255498,370
1417479720,370,370,370,370,0.02655554,9.8255498,370
1417479780,370,370,370,370,0.02655554,9.8255498,370
1417479840,370,370,370,370,0.02655554,9.8255498,370
1417479900,370,370,370,370,0.02655554,9.8255498,370
1417479960,370,370,370,370,0.02655554,9.8255498,370
1417480020,370,370,370,370,0.02655554,9.8255498,370
1417480080,370,370,370,370,0.02655554,9.8255498,370
1417480140,370,370,370,370,0.02655554,9.8255498,370
1417480200,370,370,370,370,0.02655554,9.8255498,370
1417480260,370,370,370,370,0.02655554,9.8255498,370
1417480320,370,370,370,370,0.02655554,9.8255498,370
1417480380,370,370,370,370,0.02655554,9.8255498,370
1417480440,370,370,370,370,0.02655554,9.8255498,370
1417480500,370,370,370,370,0.02655554,9.8255498,370
1417480560,370,370,370,370,0.02655554,9.8255498,370
1417480620,370,370,370,370,0.02655554,9.8255498,370
1417480680,370,370,370,370,0.02655554,9.8255498,370
1417480740,370,370,370,370,0.02655554,9.8255498,370
1417480800,370,370,370,370,0.02655554,9.8255498,370
1417480860,370,370,370,370,0.02655554,9.8255498,370
